SCANOPY,2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,FileName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSize H V PxSizeH PxSizeV,Edited Sharpened ChromAberRemoval_RGB,Camera Make Model Software,LensFocLength [Equiv. 35mm],Aperture,ExposureTime,Camera ISO Metering,Camera Exposure Prog. Bias Mode,Camera Gain Contrast Saturation Sharpness,UserCameraModel-SN LensModel-SN,FOVMax,LensType LensCalCoef[0 to 9],HemiRadiusCentreHV/CoverExtCoef,GapSizeDist Method Params,Bonhom ViewAng Span,LAI2000 NRing PathLengthSubs,LAISphereProjCoef LAIUsedForG(z),NSky NZen NOrien[Orig] ZenMin ZenMax DifRadModel,GapFrZeroSubs PxOrGap,ZenithRingsRange,NofMask,RadiationUnits,TimeZone,MinutesInterval,GrowSeasActive Begin End DayInt,SubstDirRad DiffRad,NDVI-ClrIndex Definition,NDVI_IndexTotal,NDVI_IndexAvg,NDVI_IndexMin,NDVI_IndexMax,,,,SolarConstant PARToRadRatio DiffRadToDirRadRatio AtmTrans SunSizeMeth,Channel NBits,PxClassifMeth PxClassifModif,FieldTripDate,FieldTripSite,FieldTripOpAssist,AcquisitionTime,MemoryCard,CameraHeight,Plot,SkyCond,Analyst,Comment,Slope Aspect,NorthRef Declination[Negative=W],Orientation,Latitude[<0=S],Longitude[<0=W],Altitude,CrownProjArea(CPA),GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD),CrownCoverRatio,FoliageCoverRatio,CrownPorosity,LAIAtZenViewAngle,LAIBeerLambert,LAI(Bonhom)-Lin CICorr,LAI(2000)-Lin CICorr,LAI(2000G)-Lin CICorr,LAI(Sphere)-Lin CICorr,LAI(Ellips)-Lin CICorr,LAI(Bonhom)-Log CICorr,LAI(2000)-Log CICorr,LAI(2000G)-Log CICorr,LAI(Sphere)-Log CICorr,LAI(Ellips)-Log CICorr,SilhouetteArea(SA)/FoliageA,CrownArea(CA)/TotGapA,FrameArea(PFA)/ImageA,LAI IsolTree/FoliageCover,DirectSiteFactor,IndirectSiteFactor,TotalSiteFactor,PPFDDirectOverPerDay[MJorMol/m2day],PPFDDiffuseOverPerDay[MJorMol/m2day],PPFDTotalOverPerDay[MJorMol/m2day],PPFDDirectUnderPerDay[MJorMol/m2day],PPFDDiffuseUnderPerDay[MJorMol/m2day],PPFDTotalUnderPerDay[MJorMol/m2day],GapRgnArea,GapRgnZen,GapRgnAz,GapRgnHeight,GapRgnGapFrac,GapRgnDirRadOver,GapRgnDirRadUnder,GapRgnDifRadOver,GapRgnDifRadUnder,...
Photo#,GAP_FRACTION,Zenith,0.0<= Az < 45.0,45.0<= Az < 90.0,90.0<= Az < 135.0,135.0<= Az < 180.0,180.0<= Az < 225.0,225.0<= Az < 270.0,270.0<= Az < 315.0,315.0<= Az < 360.0,GapFr(z)/CI(z)Lin,Openness(z)/CI(z)Log,G(z)Lin,G(z)Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,PPFD_TYPE,Date,BeginningHour,MinutesInterval,TotalForDay[MJorMol/m2day],,Value1[JorUMol/m2s],Value2[JorUMol/m2s],Value3[JorUMol/m2s],...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,%Rad/Hr,Hour,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,DensOrCumulDens,X,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,,,,,,,,,,,,,,,,,,,,,,
9,0521pace1c.JPG,5/21/2018 14:47,2018:05:20 09:33:31,2018:05:20 09:33:31,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8192176.4,0.704,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:07,1,0,pace8,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,5.78,4.56,3.1,3.21,3.14,4.52,3.67,19.08,3.76,3.89,3.87,5.38,4.46,15.3,25,0.82,0.83,0.81,0.84,0.82,0.947,,,,,,3.288,3.332,3.247,4.688,3.869,3.973,4.101,4.086,5.674,4.707,,,,,0.0471,0.0625,0.0491,43.4,6.51,49.91,2.04,0.41,2.45,,,,,,,,,,
10,0521pace1e.JPG,5/21/2018 14:47,2018:05:20 09:35:52,2018:05:20 09:35:52,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8962632.1,0.77,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:07,1,0,pace8,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,5.3,4.09,3.87,3.62,3.45,3.83,3.56,21.42,4.64,4.21,4.1,4.53,4.18,17.46,20,0.83,0.86,0.84,0.85,0.85,0.966,,,,,,3.865,3.676,3.733,7.397,3.685,4.798,4.358,4.24,4.686,4.331,,,,,0.1079,0.068,0.1027,43.4,6.51,49.91,4.68,0.44,5.13,,,,,,,,,,
11,0521pace1n.JPG,5/21/2018 14:47,2018:05:20 09:34:29,2018:05:20 09:34:29,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5619455.6,0.483,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:07,1,0,pace8,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,11.37,8,2.88,2.63,2.79,3.74,3.34,23.04,3.12,2.98,3.19,4.11,3.77,20.16,34,0.92,0.88,0.87,0.91,0.89,0.876,,,,,,2.879,2.755,2.89,3.935,3.812,3.56,3.404,3.64,4.695,4.301,,,,,0.1639,0.134,0.16,43.4,6.51,49.91,7.11,0.87,7.99,,,,,,,,,,
12,0521pace1s.JPG,5/21/2018 14:48,2018:05:20 09:37:21,2018:05:20 09:37:21,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7811484.5,0.671,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:07,1,0,pace8,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,7.29,5.26,3.34,3.18,2.96,4.13,3.38,20.16,4.83,3.86,3.61,4.75,4.07,16.92,22,0.69,0.82,0.82,0.87,0.83,0.968,,,,,,3.344,3.205,2.983,4.18,3.495,4.991,3.989,3.729,4.907,4.204,,,,,0.0745,0.0864,0.076,43.4,6.51,49.91,3.23,0.56,3.79,,,,,,,,,,
13,0521pace1w.JPG,5/21/2018 14:48,2018:05:20 09:38:31,2018:05:20 09:38:31,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),9015562.3,0.774,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:07,1,0,pace8,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,4.39,3.47,3.4,3.47,3.34,4.69,3.81,14.94,3.99,4.04,4.11,5.6,4.63,13.68,24,0.85,0.86,0.81,0.84,0.82,0.962,,,,,,3.399,3.525,3.394,4.82,3.959,4.148,4.196,4.267,5.823,4.814,,,,,0.03,0.0494,0.0325,43.4,6.51,49.91,1.3,0.32,1.62,,,,,,,,,,
14,0521pace2c.JPG,5/21/2018 14:48,2018:05:20 09:42:06,2018:05:20 09:42:06,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7986121,0.686,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:07,1,0,pace8,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,7.53,5.13,3.46,3.4,3.28,3.26,3.23,24.3,4.44,3.93,3.88,4.27,4.07,18.18,25,0.78,0.87,0.85,0.76,0.79,0.787,,,,,,3.462,3.631,3.477,3.836,4.109,5.645,4.993,4.93,5.423,5.173,,,,,0.121,0.0948,0.1176,43.4,6.51,49.91,5.25,0.62,5.87,,,,,,,,,,
