SCANOPY,2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,FileName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSize H V PxSizeH PxSizeV,Edited Sharpened ChromAberRemoval_RGB,Camera Make Model Software,LensFocLength [Equiv. 35mm],Aperture,ExposureTime,Camera ISO Metering,Camera Exposure Prog. Bias Mode,Camera Gain Contrast Saturation Sharpness,UserCameraModel-SN LensModel-SN,FOVMax,LensType LensCalCoef[0 to 9],HemiRadiusCentreHV/CoverExtCoef,GapSizeDist Method Params,Bonhom ViewAng Span,LAI2000 NRing PathLengthSubs,LAISphereProjCoef LAIUsedForG(z),NSky NZen NOrien[Orig] ZenMin ZenMax DifRadModel,GapFrZeroSubs PxOrGap,ZenithRingsRange,NofMask,RadiationUnits,TimeZone,MinutesInterval,GrowSeasActive Begin End DayInt,SubstDirRad DiffRad,NDVI-ClrIndex Definition,NDVI_IndexTotal,NDVI_IndexAvg,NDVI_IndexMin,NDVI_IndexMax,,,,SolarConstant PARToRadRatio DiffRadToDirRadRatio AtmTrans SunSizeMeth,Channel NBits,PxClassifMeth PxClassifModif,FieldTripDate,FieldTripSite,FieldTripOpAssist,AcquisitionTime,MemoryCard,CameraHeight,Plot,SkyCond,Analyst,Comment,Slope Aspect,NorthRef Declination[Negative=W],Orientation,Latitude[<0=S],Longitude[<0=W],Altitude,CrownProjArea(CPA),GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD),CrownCoverRatio,FoliageCoverRatio,CrownPorosity,LAIAtZenViewAngle,LAIBeerLambert,LAI(Bonhom)-Lin CICorr,LAI(2000)-Lin CICorr,LAI(2000G)-Lin CICorr,LAI(Sphere)-Lin CICorr,LAI(Ellips)-Lin CICorr,LAI(Bonhom)-Log CICorr,LAI(2000)-Log CICorr,LAI(2000G)-Log CICorr,LAI(Sphere)-Log CICorr,LAI(Ellips)-Log CICorr,SilhouetteArea(SA)/FoliageA,CrownArea(CA)/TotGapA,FrameArea(PFA)/ImageA,LAI IsolTree/FoliageCover,DirectSiteFactor,IndirectSiteFactor,TotalSiteFactor,PPFDDirectOverPerDay[MJorMol/m2day],PPFDDiffuseOverPerDay[MJorMol/m2day],PPFDTotalOverPerDay[MJorMol/m2day],PPFDDirectUnderPerDay[MJorMol/m2day],PPFDDiffuseUnderPerDay[MJorMol/m2day],PPFDTotalUnderPerDay[MJorMol/m2day],GapRgnArea,GapRgnZen,GapRgnAz,GapRgnHeight,GapRgnGapFrac,GapRgnDirRadOver,GapRgnDirRadUnder,GapRgnDifRadOver,GapRgnDifRadUnder,...
Photo#,GAP_FRACTION,Zenith,0.0<= Az < 45.0,45.0<= Az < 90.0,90.0<= Az < 135.0,135.0<= Az < 180.0,180.0<= Az < 225.0,225.0<= Az < 270.0,270.0<= Az < 315.0,315.0<= Az < 360.0,GapFr(z)/CI(z)Lin,Openness(z)/CI(z)Log,G(z)Lin,G(z)Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,PPFD_TYPE,Date,BeginningHour,MinutesInterval,TotalForDay[MJorMol/m2day],,Value1[JorUMol/m2s],Value2[JorUMol/m2s],Value3[JorUMol/m2s],...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,%Rad/Hr,Hour,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,DensOrCumulDens,X,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,,,,,,,,,,,,,,,,,,,,,,
521,0510pace1c.JPG,5/21/2018 14:12,2018:05:09 09:51:48,2018:05:09 09:51:48,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8205676.3,0.705,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,9:51,1,0,pace1,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,5.04,3.52,4.27,3.63,3.58,3.93,3.73,20.52,4.74,4.16,4.16,5.07,4.52,15.84,26,0.9,0.87,0.86,0.78,0.83,0.87,,,,,,4.271,3.875,6.275,40.616,4.281,5.447,4.774,4.784,5.823,5.188,,,,,0.0516,0.0605,0.0527,43.4,6.51,49.91,2.24,0.39,2.63,,,,,,,,,,
510,0510pace1e.JPG,5/21/2018 14:13,2018:05:09 09:58:01,2018:05:09 09:58:01,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,640,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8847742.9,0.76,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,9:58,1,0,pace1,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,5.83,4.12,3,3.6,3.47,4.73,4.1,17.64,5,4.63,4.44,5.83,5.01,13.5,32,0.6,0.78,0.78,0.81,0.82,0.918,,,,,,3.002,3.739,3.592,4.888,4.469,5.449,5.048,4.843,6.349,5.462,,,,,0.0475,0.0673,0.0501,43.4,6.51,49.91,2.06,0.44,2.5,,,,,,,,,,
1,0510pace1n.JPG,5/21/2018 14:15,2018:05:09 09:56:49,2018:05:09 09:56:49,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1600,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5447324.6,0.468,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,9:56,1,0,pace1,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,10.27,7.23,3.27,2.86,2.93,2.89,2.9,27.72,3.7,3.26,3.33,3.38,3.41,23.22,28,0.88,0.88,0.88,0.85,0.85,0.934,,,,,,3.269,2.908,2.975,2.991,3.106,3.965,3.489,3.565,3.621,3.644,,,,,0.1348,0.1273,0.1338,43.4,6.51,49.91,5.85,0.83,6.68,,,,,,,,,,
1,0510pace1s.JPG,5/21/2018 14:16,2018:05:09 09:58:43,2018:05:09 09:58:43,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8739125.6,0.751,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,9:58,1,0,pace1,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,5.63,4.23,4.16,3.42,3.42,4.93,4.08,17.64,4.93,3.89,3.92,5.51,4.62,14.94,28,0.84,0.88,0.87,0.89,0.88,0.979,,,,,,4.158,3.468,3.475,5.041,4.168,5.036,3.973,4.006,5.625,4.723,,,,,0.0609,0.0624,0.0611,43.4,6.51,49.91,2.64,0.41,3.05,,,,,,,,,,
1,0510pace1w.JPG,5/21/2018 14:17,2018:05:09 09:59:37,2018:05:09 09:59:37,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1600,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5527811.4,0.475,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,9:59,1,0,pace1,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,9.79,6.91,3.45,3.21,2.95,2.8,2.81,28.08,4.79,3.79,3.49,3.27,3.38,23.22,24,0.72,0.85,0.85,0.86,0.83,0.952,,,,,,3.45,3.239,2.969,2.862,2.956,5.035,3.977,3.661,3.436,3.547,,,,,0.2048,0.1297,0.195,43.4,6.51,49.91,8.89,0.84,9.73,,,,,,,,,,
3,0510pace2c3.JPG,5/21/2018 14:17,2018:05:09 10:07:53,2018:05:09 10:07:53,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,2000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,Sony6000-6405735 DSLRCompact-2571,90,Lens.Cal Regent DSLR Compact,1925.00 2989.00 2005.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7487125.7,0.643,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_color_set_one.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,10:07,1,0,pace1,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,7.99,5.2,3.75,3.51,3.33,4.19,3.79,19.62,4.39,4.28,4.1,4.93,4.56,15.66,33,0.85,0.82,0.81,0.85,0.83,0.746,,,,,,3.745,3.88,3.638,4.716,5.087,5.884,5.735,5.493,6.606,6.114,,,,,0.0652,0.0972,0.0694,43.4,6.51,49.91,2.83,0.63,3.46,,,,,,,,,,
