SCANOPY,2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,FileName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSize H V PxSizeH PxSizeV,Edited Sharpened ChromAberRemoval_RGB,Camera Make Model Software,LensFocLength [Equiv. 35mm],Aperture,ExposureTime,Camera ISO Metering,Camera Exposure Prog. Bias Mode,Camera Gain Contrast Saturation Sharpness,UserCameraModel-SN LensModel-SN,FOVMax,LensType LensCalCoef[0 to 9],HemiRadiusCentreHV/CoverExtCoef,GapSizeDist Method Params,Bonhom ViewAng Span,LAI2000 NRing PathLengthSubs,LAISphereProjCoef LAIUsedForG(z),NSky NZen NOrien[Orig] ZenMin ZenMax DifRadModel,GapFrZeroSubs PxOrGap,ZenithRingsRange,NofMask,RadiationUnits,TimeZone,MinutesInterval,GrowSeasActive Begin End DayInt,SubstDirRad DiffRad,NDVI-ClrIndex Definition,NDVI_IndexTotal,NDVI_IndexAvg,NDVI_IndexMin,NDVI_IndexMax,,,,SolarConstant PARToRadRatio DiffRadToDirRadRatio AtmTrans SunSizeMeth,Channel NBits,PxClassifMeth PxClassifModif,FieldTripDate,FieldTripSite,FieldTripOpAssist,AcquisitionTime,MemoryCard,CameraHeight,Plot,SkyCond,Analyst,Comment,Slope Aspect,NorthRef Declination[Negative=W],Orientation,Latitude[<0=S],Longitude[<0=W],Altitude,CrownProjArea(CPA),GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD),CrownCoverRatio,FoliageCoverRatio,CrownPorosity,LAIAtZenViewAngle,LAIBeerLambert,LAI(Bonhom)-Lin CICorr,LAI(2000)-Lin CICorr,LAI(2000G)-Lin CICorr,LAI(Sphere)-Lin CICorr,LAI(Ellips)-Lin CICorr,LAI(Bonhom)-Log CICorr,LAI(2000)-Log CICorr,LAI(2000G)-Log CICorr,LAI(Sphere)-Log CICorr,LAI(Ellips)-Log CICorr,SilhouetteArea(SA)/FoliageA,CrownArea(CA)/TotGapA,FrameArea(PFA)/ImageA,LAI IsolTree/FoliageCover,DirectSiteFactor,IndirectSiteFactor,TotalSiteFactor,PPFDDirectOverPerDay[MJorMol/m2day],PPFDDiffuseOverPerDay[MJorMol/m2day],PPFDTotalOverPerDay[MJorMol/m2day],PPFDDirectUnderPerDay[MJorMol/m2day],PPFDDiffuseUnderPerDay[MJorMol/m2day],PPFDTotalUnderPerDay[MJorMol/m2day],GapRgnArea,GapRgnZen,GapRgnAz,GapRgnHeight,GapRgnGapFrac,GapRgnDirRadOver,GapRgnDirRadUnder,GapRgnDifRadOver,GapRgnDifRadUnder,...
Photo#,GAP_FRACTION,Zenith,0.0<= Az < 45.0,45.0<= Az < 90.0,90.0<= Az < 135.0,135.0<= Az < 180.0,180.0<= Az < 225.0,225.0<= Az < 270.0,270.0<= Az < 315.0,315.0<= Az < 360.0,GapFr(z)/CI(z)Lin,Openness(z)/CI(z)Log,G(z)Lin,G(z)Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,PPFD_TYPE,Date,BeginningHour,MinutesInterval,TotalForDay[MJorMol/m2day],,Value1[JorUMol/m2s],Value2[JorUMol/m2s],Value3[JorUMol/m2s],...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,%Rad/Hr,Hour,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,DensOrCumulDens,X,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,,,,,,,,,,,,,,,,,,,,,,
1,0426pace1c.JPG,5/1/2018 10:57,2014:01:01 00:04:59,2014:01:01 00:04:59,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,500,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1319.00 3088.00 2092.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),1406731.3,0.257,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_estate.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,0:04,1,0,pace1c,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,14.47,14.73,2.07,2.13,1.86,2.19,1.81,3.6,2.44,2.46,2.24,2.99,2.3,1.44,2,0.85,0.87,0.83,0.73,0.79,0.902,,,,,,2.142,2.325,2.043,2.528,2.002,2.71,2.723,2.481,3.32,2.549,,,,,0.1128,0.166,0.1197,43.4,6.51,49.91,4.89,1.08,5.98,,,,,,,,,,
1,0426pace1e.JPG,5/1/2018 10:59,2014:01:01 00:01:17,2014:01:01 00:01:17,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,640,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1319.00 3168.00 1896.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),1239550.6,0.227,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_estate.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,0:01,1,0,pace1e,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,15.27,15.89,2.26,2.04,1.75,2.17,1.8,5.04,2.64,2.29,2,2.5,2.07,4.32,0,0.85,0.89,0.87,0.87,0.87,0.971,,,,,,2.259,2.061,1.762,2.194,1.852,2.722,2.359,2.061,2.58,2.129,,,,,0.2378,0.2018,0.2331,43.4,6.51,49.91,10.32,1.31,11.63,,,,,,,,,,
1,0426pace1n.JPG,5/1/2018 11:01,2014:01:01 00:11:32,2014:01:01 00:11:32,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,500,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1319.00 3144.00 2060.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),558343.5,0.102,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_estate.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,0:11,1,0,pace1n,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,24,24.53,1.42,1.49,1.36,1.57,1.29,9.18,1.54,1.59,1.52,1.77,1.44,8.1,0,0.92,0.94,0.9,0.89,0.9,0.853,,,,,,1.462,1.638,1.496,1.832,1.512,1.801,1.859,1.782,2.076,1.687,,,,,0.1743,0.2672,0.1864,43.4,6.51,49.91,7.57,1.74,9.3,,,,,,,,,,
1,0426pace1s.JPG,5/1/2018 11:03,2014:01:01 00:09:34,2014:01:01 00:09:34,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,500,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1288.00 3084.00 2084.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),909466.9,0.175,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_estate.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,0:09,1,0,pace1s,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,19.55,20.1,1.42,1.75,1.54,2.16,1.69,5.58,1.53,1.85,1.72,2.61,1.97,4.68,2,0.92,0.94,0.9,0.83,0.86,0.959,,,,,,1.476,1.818,1.611,2.245,1.757,1.6,1.928,1.797,2.719,2.05,,,,,0.232,0.2325,0.2321,43.4,6.51,49.91,10.07,1.51,11.58,,,,,,,,,,
1,0426pace1w.JPG,5/1/2018 11:04,2014:01:01 00:11:12,2014:01:01 00:11:12,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,640,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1288.00 2740.00 1752.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),650896.2,0.125,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_estate.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,0:11,1,0,pace1w,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,22.61,23.63,1.65,1.54,1.32,1.47,1.3,8.1,1.68,1.65,1.47,1.72,1.47,6.84,0,0.98,0.93,0.9,0.85,0.88,0.901,,,,,,1.697,1.615,1.398,1.629,1.439,1.862,1.828,1.631,1.915,1.636,,,,,0.2663,0.3028,0.271,43.4,6.51,49.91,11.55,1.97,13.53,,,,,,,,,,
2,0426pace2c.JPG,5/1/2018 11:04,2014:01:01 00:24:26,2014:01:01 00:24:26,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1203.00 2728.00 1968.00,Y Chen 1.0 Fmr<Fm Y LAIInc< Y 0.010,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),-937367.5,-0.206,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR pace_estate.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,0:24,1,0,pace2c,Sunny,_,_,0.00-0.00,M 0.0,0,37.9,-78.3,0,1,54.91,55.6,0.56,0.6,0.54,0.68,0.55,10.26,0.63,0.67,0.63,0.79,0.63,9.9,0,0.88,0.89,0.87,0.87,0.87,0.899,,,,,,0.661,0.681,0.618,0.777,0.608,0.705,0.748,0.696,0.873,0.7,,,,,0.4411,0.5855,0.4599,43.4,6.51,49.91,19.14,3.81,22.95,,,,,,,,,,
