date,plot,apar,bpar,tau,fpar,lai.lp80
4/26/2018,pace1,1584.7,370.7,0.234,0.766,2.127415688
4/26/2018,pace2,1589.3,1074.8,0.667,0.333,0.491610543
4/26/2018,pace3,1629,673.9,0.424,0.576,1.109305912
4/26/2018,pace4,1736.8,617.5,0.358,0.642,1.260199915
4/26/2018,pace5,1664.6,732.7,0.441,0.559,1.000004138
4/26/2018,pace6,1481,677.4,0.458,0.542,0.895680152
4/26/2018,pace7,1543.5,575.7,0.372,0.628,1.129284622
4/26/2018,pace8,1657.1,482.3,0.295,0.705,1.369506109
