#
# Transition date estimate for pace
#
# Site: pace
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2020
# Final Processing Date: 2020-07-02
# Final Processing Time: 17:04:04
# Spline RMSE gcc_mean: 0.00251
# Spline RMSE gcc_50: 0.00255
# Spline RMSE gcc_75: 0.00258
# Spline RMSE gcc_90: 0.00297
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
pace,DB,1000,rising,gcc_90,2018-04-16,2018-04-22,2018-04-29,2018-04-14,2018-04-21,2018-04-27,2018-04-18,2018-04-24,2018-04-30,0.32449,0.34001,0.37549,0.31421,0.4239
pace,DB,1000,rising,gcc_90,2019-04-06,2019-04-11,2019-04-16,2019-04-05,2019-04-10,2019-04-15,2019-04-08,2019-04-13,2019-04-17,0.32175,0.33872,0.36889,0.31312,0.42392
pace,DB,1000,rising,gcc_90,2020-03-31,2020-04-06,2020-04-14,2020-03-29,2020-04-05,2020-04-12,2020-04-03,2020-04-08,2020-04-15,0.32608,0.33922,0.36467,0.31835,0.40499
pace,DB,1000,rising,gcc_75,2018-04-16,2018-04-22,2018-04-29,2018-04-14,2018-04-21,2018-04-27,2018-04-18,2018-04-24,2018-04-30,0.32325,0.33808,0.37155,0.31332,0.42075
pace,DB,1000,rising,gcc_75,2019-04-07,2019-04-11,2019-04-17,2019-04-06,2019-04-10,2019-04-15,2019-04-09,2019-04-13,2019-04-18,0.32257,0.33617,0.37113,0.31221,0.42
pace,DB,1000,rising,gcc_75,2020-03-31,2020-04-06,2020-04-14,2020-03-29,2020-04-05,2020-04-12,2020-04-03,2020-04-08,2020-04-15,0.32472,0.33692,0.35974,0.31758,0.39968
pace,DB,1000,rising,gcc_50,2018-04-18,2018-04-23,2018-04-29,2018-04-16,2018-04-22,2018-04-28,2018-04-20,2018-04-25,2018-04-30,0.32294,0.336,0.36569,0.31246,0.4177
pace,DB,1000,rising,gcc_50,2019-04-07,2019-04-12,2019-04-17,2019-04-06,2019-04-11,2019-04-16,2019-04-09,2019-04-13,2019-04-18,0.32042,0.33677,0.36461,0.31136,0.41537
pace,DB,1000,rising,gcc_50,2020-04-01,2020-04-06,2020-04-15,2020-03-29,2020-04-05,2020-04-13,2020-04-03,2020-04-08,2020-04-16,0.32418,0.33429,0.35839,0.31663,0.39466
pace,DB,1000,rising,gcc_mean,2018-04-17,2018-04-23,2018-04-29,2018-04-15,2018-04-22,2018-04-28,2018-04-19,2018-04-25,2018-04-30,0.32223,0.33713,0.36561,0.31236,0.41603
pace,DB,1000,rising,gcc_mean,2019-04-07,2019-04-11,2019-04-17,2019-04-06,2019-04-10,2019-04-15,2019-04-09,2019-04-13,2019-04-18,0.32038,0.33269,0.36557,0.31059,0.4146
pace,DB,1000,rising,gcc_mean,2020-03-31,2020-04-06,2020-04-14,2020-03-29,2020-04-05,2020-04-12,2020-04-03,2020-04-08,2020-04-15,0.32338,0.33492,0.35664,0.3164,0.39475
pace,DB,1000,falling,gcc_90,2019-11-05,2019-10-29,2019-10-18,2019-11-06,2019-10-31,2019-10-21,2019-11-02,2019-10-27,2019-10-16,0.33598,0.34841,0.36954,0.3299,0.40625
pace,DB,1000,falling,gcc_90,2018-11-04,2018-10-29,2018-10-17,2018-11-05,2018-10-31,2018-10-20,2018-11-02,2018-10-27,2018-10-15,0.31832,0.33533,0.36138,0.30981,0.41198
pace,DB,1000,falling,gcc_90,2017-11-10,2017-11-03,2017-10-17,2017-11-12,2017-11-05,2017-10-23,2017-11-07,2017-11-01,2017-10-02,0.32355,0.33726,0.36121,0.31506,0.40666
pace,DB,1000,falling,gcc_75,2019-11-04,2019-10-28,2019-10-16,2019-11-06,2019-10-30,2019-10-19,2019-11-02,2019-10-26,2019-10-14,0.33615,0.34709,0.36712,0.32868,0.4037
pace,DB,1000,falling,gcc_75,2018-11-04,2018-10-29,2018-10-17,2018-11-05,2018-10-30,2018-10-19,2018-11-02,2018-10-27,2018-10-15,0.31659,0.33308,0.35909,0.30925,0.40893
pace,DB,1000,falling,gcc_75,2017-11-06,2017-10-30,2017-10-19,2017-11-07,2017-11-01,2017-10-23,2017-11-03,2017-10-28,2017-10-02,0.32926,0.34286,0.36387,0.3225,0.40395
pace,DB,1000,falling,gcc_50,2019-11-03,2019-10-27,2019-10-14,2019-11-04,2019-10-29,2019-10-16,2019-10-31,2019-10-24,2019-10-12,0.33576,0.34641,0.36531,0.32966,0.40071
